wavelength,watermilfoil,primrose,tule,soil,waterturbid,waterclear,npv,egeria,hyacinth,sagoturbid,pennywort,cattail,cabomba,curlyleaf,phragmites
1308.469971,0.014007,0.397866,0.167654,0.224793,0.010898,0.007889,0.43799,0.04252,0.356628,0.007011,0.406928,0.235362,0.009882,0.010862,0.313754
1313.47998,0.012427,0.392706,0.16164,0.22354,0.011087,0.007593,0.437703,0.039759,0.349455,0.006011,0.400493,0.233352,0.009321,0.010556,0.318546
1318.48999,0.012614,0.381973,0.156741,0.224657,0.010029,0.007783,0.440121,0.03779,0.334364,0.0059,0.386502,0.2222,0.008595,0.010978,0.309345
1323.5,0.012259,0.372346,0.149006,0.221646,0.009467,0.006912,0.433826,0.035926,0.320434,0.00495,0.377077,0.212853,0.007802,0.010632,0.304796
1328.51001,0.01128,0.3678,0.145477,0.21947,0.009504,0.006612,0.426381,0.033119,0.318581,0.004623,0.374902,0.20125,0.007192,0.009658,0.309795
1333.52002,0.01079,0.345151,0.13571,0.214069,0.009562,0.005599,0.418583,0.031886,0.301692,0.004566,0.363767,0.194283,0.006904,0.009659,0.298743
1338.52002,0.010877,0.337795,0.132588,0.216713,0.009611,0.005497,0.416212,0.030684,0.287675,0.004427,0.352858,0.186914,0.006628,0.010045,0.29575
1343.530029,0.011606,0.333751,0.1289,0.219207,0.009292,0.00534,0.419936,0.027447,0.283908,0.00375,0.340679,0.184751,0.007126,0.008663,0.295336
1348.540039,0.01572,0.347056,0.131353,0.241735,-0.001013,0.006687,0.411359,0.02016,0.281309,0.006692,0.331096,0.186583,0.010126,0.011654,0.30818
1353.550049,-0.011158,0.93881,0.40158,0.004686,-0.104116,-0.036585,0.052688,-0.116525,0.419073,-0.026035,1.003942,0.218482,-0.035076,-0.039939,1.330094
1358.560059,-0.007743,-0.093257,-2.341555,0.254393,-0.015352,-0.002094,-0.132238,-0.026936,-0.184378,-0.000477,-0.175311,-1.146274,-0.002713,0.008739,-0.086649
1363.569946,0.042493,0.039736,0.042977,0.043656,0.033301,0.009528,0.044971,0.044777,0.066587,0.001108,0.066551,0.066654,0.012883,0.029945,0.043272
1368.579956,0.01878,0.019372,0.021051,0.065581,0.013383,0.003921,0.021384,0.01807,0.019635,0.000645,0.016551,0.004604,0.003974,0.005708,0.021064
1373.589966,-0.022529,2.907783,-10.349686,-3.492243,-0.095165,-0.045688,-2.807599,-0.797167,-3.460417,-0.018661,-1.946739,-3.209897,-0.067328,0.057267,-11.016
1378.589966,0.078175,-0.69151,1.208853,1.107016,0.006169,0.011206,1.110631,0.276002,1.188622,0.005794,-0.941682,0.40654,0.014822,0.055321,-5.752218
1383.599976,0.026888,14.841098,0.341886,0.169331,0.007198,0.008513,0.189464,0.100319,0.260441,0.001284,0.258705,0.27466,0.008213,0.007856,-0.028992
1388.609985,0.058287,0.243131,0.255254,0.384992,0.005713,0.007629,0.394495,0.082146,0.539219,0.001598,0.775554,0.61912,0.002655,0.010204,0.410444
1393.619995,0.011584,0.290016,0.043298,0.419927,0.007218,0.008312,0.507191,0.143027,0.576915,0.001299,0.557833,0.401522,0.005623,0.008845,-0.117304
1398.630005,-0.005089,0.4204,0.106639,0.561657,0.056908,0.011592,0.677607,0.156949,0.63869,0.003392,0.986981,0.690779,0.008997,0.001385,0.283407
1403.640015,0.067483,0.244241,-0.069783,0.491035,0.034623,0.011736,0.571601,0.112975,0.485313,0.006054,0.798924,0.661094,0.011869,0.004176,0.27648
1408.650024,0.05416,0.311849,0.039283,0.348922,0.019664,0.02084,0.468661,0.163106,0.350779,0.0056,0.349488,0.443133,0.014588,0.039192,0.198729
1413.650024,0.002106,0.253618,0.098369,0.325332,0.036229,0.015392,0.512925,0.067868,0.286018,0.010827,0.297323,0.328116,0.01446,-0.001359,0.138074
1418.660034,0.050098,0.182658,0.063359,0.297731,0.025179,0.008504,0.540413,0.059364,0.287027,0.003305,0.390962,0.177892,0.012324,0.011982,0.051326
1423.670044,0.017569,0.155008,0.084822,0.22208,0.017825,0.005443,0.382301,0.044099,0.13396,0.004564,0.195938,0.152187,0.006529,0.012048,0.197666
1428.680054,0.024988,0.110531,0.040357,0.226129,0.009599,0.011355,0.307885,0.029565,0.106565,0.004489,0.145492,0.093422,0.007385,0.006522,0.15423
1433.689941,0.013393,0.108444,0.06702,0.236647,0.016384,0.009756,0.330335,0.022742,0.103926,0.003794,0.12425,0.101865,0.007957,0.005492,0.134622
1438.699951,0.01463,0.1133,0.040228,0.236307,0.006132,0.007963,0.30231,0.029099,0.098948,0.002901,0.124843,0.098036,0.006305,0.006704,0.136812
1443.709961,0.013669,0.102376,0.046618,0.219337,0.00719,0.004144,0.318713,0.023279,0.090079,0.003846,0.12839,0.062825,0.003689,0.013312,0.150961
1448.719971,0.012365,0.086014,0.050007,0.196732,0.006353,0.005273,0.290628,0.020345,0.073541,0.003411,0.104509,0.070366,0.005665,0.008124,0.116081
1453.719971,0.007823,0.081642,0.039678,0.207337,0.008629,0.005233,0.285021,0.016194,0.055041,0.003598,0.095378,0.05268,0.005101,0.007159,0.113417
1458.72998,0.006752,0.077604,0.043378,0.199673,0.006308,0.004064,0.280795,0.014793,0.049507,0.002421,0.089834,0.058171,0.003738,0.00607,0.110822
