Wavelength,water,soil,npv,veg,sav,emr
947.849976,0.021901,0.237861,0.336237,0.546348,0.024637,0.315729
952.859985,0.020361,0.23652,0.340293,0.541623,0.023438,0.308502
957.869995,0.021404,0.237799,0.342389,0.529385,0.022424,0.308483
962.869995,0.020114,0.238681,0.344456,0.527486,0.024045,0.306426
967.880005,0.02055,0.241733,0.343902,0.524453,0.022056,0.305282
972.890015,0.02088,0.24135,0.346632,0.523215,0.022728,0.308516
977.900024,0.02136,0.242834,0.345517,0.518144,0.022409,0.310697
982.909973,0.021357,0.244119,0.347286,0.522163,0.022588,0.309423
987.919983,0.0226,0.245785,0.349682,0.522559,0.023294,0.310072
992.929993,0.022254,0.245127,0.352971,0.519802,0.022759,0.31423
997.940002,0.023078,0.247958,0.35684,0.526299,0.024047,0.316064
1002.940002,0.02296,0.246708,0.356997,0.528558,0.024062,0.322245
1007.950012,0.022469,0.24813,0.35867,0.531394,0.023604,0.324469
1012.960022,0.022249,0.248228,0.36089,0.535137,0.024426,0.325974
1017.969971,0.02223,0.248942,0.365155,0.538574,0.024985,0.330128
1022.97998,0.022592,0.249527,0.364825,0.546195,0.024625,0.332861
1027.98999,0.023022,0.249314,0.369486,0.546904,0.024825,0.338504
1033,0.022151,0.248858,0.369581,0.549239,0.025859,0.341354
1038,0.023057,0.249652,0.368991,0.553581,0.02538,0.342715
1043.01001,0.022796,0.252366,0.368659,0.553387,0.026458,0.346875
1048.02002,0.02265,0.249964,0.372062,0.556941,0.026947,0.35018
1053.030029,0.022594,0.250938,0.376371,0.558279,0.026443,0.351461
1058.040039,0.022504,0.251994,0.377803,0.562289,0.026803,0.35411
1063.050049,0.023292,0.25211,0.374863,0.559093,0.026907,0.352651
1068.060059,0.022405,0.250956,0.375954,0.558166,0.026815,0.356675
1073.069946,0.022507,0.252678,0.380295,0.561958,0.026398,0.364068
1078.069946,0.021924,0.255799,0.383977,0.564343,0.026508,0.362648
1083.079956,0.021385,0.253857,0.384618,0.563812,0.02634,0.3658
1088.089966,0.021186,0.25351,0.385529,0.566724,0.025495,0.364562
1093.099976,0.021117,0.253133,0.384436,0.564093,0.02536,0.367029
1098.109985,0.020654,0.253678,0.387403,0.567559,0.024261,0.36439
1103.119995,0.020042,0.251029,0.387277,0.567838,0.023469,0.365344
1108.130005,0.02064,0.250717,0.386096,0.563023,0.023895,0.361676
1113.130005,0.018367,0.252923,0.383057,0.565367,0.023852,0.366569
1118.140015,0.020547,0.25591,0.38355,0.573368,0.025615,0.363603
1123.150024,0.020819,0.265958,0.379383,0.554941,0.025554,0.362476
1128.160034,0.021195,0.263393,0.384012,0.546108,0.027397,0.358362
1133.170044,0.024669,0.257859,0.382317,0.536177,0.026034,0.3528
1138.180054,0.019523,0.249469,0.374403,0.516489,0.020244,0.337386
1143.189941,0.019362,0.249436,0.367,0.514819,0.019748,0.331492
1148.199951,0.018773,0.255501,0.371406,0.494564,0.021054,0.323946
1153.199951,0.017764,0.254828,0.374002,0.491399,0.020423,0.317274
1158.209961,0.01806,0.252567,0.368976,0.475107,0.018854,0.311435
1163.219971,0.017457,0.258239,0.364311,0.471202,0.018082,0.307055
1168.22998,0.017371,0.256684,0.368327,0.470185,0.018984,0.309668
1173.23999,0.01738,0.260912,0.365076,0.46819,0.018526,0.308276
1178.25,0.017536,0.255919,0.362696,0.462073,0.019585,0.304532
1183.26001,0.017753,0.256772,0.359435,0.461217,0.01924,0.304162
1188.26001,0.018131,0.260107,0.356319,0.463097,0.018446,0.301653
1193.27002,0.017801,0.260515,0.356779,0.457063,0.018613,0.304524
1198.280029,0.017876,0.260604,0.357226,0.456406,0.018421,0.303482
1203.290039,0.017655,0.257468,0.354282,0.450701,0.019733,0.300434
1208.300049,0.017532,0.257841,0.356133,0.452875,0.018463,0.302581
1213.310059,0.017643,0.260395,0.355658,0.455948,0.018314,0.305174
1218.319946,0.018068,0.263569,0.360223,0.459068,0.018336,0.307316
1223.329956,0.018175,0.266607,0.363583,0.461108,0.018775,0.31252
1228.329956,0.01881,0.266328,0.366293,0.464583,0.018688,0.314738
1233.339966,0.019256,0.267729,0.370764,0.466251,0.019257,0.319056
1238.349976,0.019255,0.271775,0.373025,0.469086,0.019892,0.321806
1243.359985,0.01936,0.274036,0.375483,0.469285,0.019556,0.322842
1248.369995,0.018581,0.273985,0.374311,0.468747,0.019746,0.324458
1253.380005,0.018478,0.272081,0.377718,0.47084,0.019967,0.327351
1258.390015,0.018414,0.271438,0.375011,0.470469,0.020058,0.329584
1263.390015,0.018385,0.272219,0.371657,0.46695,0.019452,0.322875
1268.400024,0.017679,0.270638,0.375883,0.466958,0.019126,0.32306
1273.410034,0.018344,0.269763,0.381469,0.469331,0.019815,0.328701
1278.420044,0.019274,0.276603,0.383392,0.477021,0.019417,0.333642
1283.430054,0.019196,0.279932,0.386697,0.474798,0.020288,0.333524
1288.439941,0.018631,0.280615,0.39111,0.475897,0.020097,0.336011
1293.449951,0.018446,0.28271,0.390532,0.47548,0.019205,0.337323
1298.459961,0.017811,0.286421,0.390891,0.47139,0.019346,0.334274
1303.459961,0.018064,0.289823,0.400787,0.473983,0.020023,0.339315
1308.469971,0.016822,0.281408,0.394813,0.467428,0.01825,0.330677
1313.47998,0.015584,0.279798,0.391612,0.46061,0.017506,0.32239
1318.48999,0.014123,0.279235,0.388227,0.44838,0.016448,0.317015
1323.5,0.013735,0.276518,0.38329,0.435507,0.016549,0.311405
1328.51001,0.013868,0.276563,0.379574,0.429777,0.014046,0.305475
1333.52002,0.012749,0.268922,0.37255,0.414047,0.014864,0.291965
1338.52002,0.011939,0.26976,0.368059,0.402238,0.014571,0.284311
1343.530029,0.014341,0.271407,0.363007,0.403013,0.014126,0.287694
1348.540039,0.011788,0.293923,0.39275,0.400861,0.020301,0.30135
1353.550049,-0.055426,-0.171276,-0.012462,0.729766,-0.016962,0.190953
1358.560059,-0.008932,-0.037401,-2.969872,-0.0944,-0.013563,-0.873708
1363.569946,0.011416,0.039484,0.03969,0.039739,0.035513,0.039873
1368.579956,0.005395,0.018463,0.017934,0.019422,0.008851,0.017844
1373.589966,-0.110793,-2.141248,-2.599272,5.549471,-0.174877,-1.537317
1378.589966,0.024222,0.731853,0.834813,0.485634,0.052907,0.754856
1383.599976,0.002514,0.141269,0.147974,0.096996,0.027125,0.152324
1388.609985,0.013785,0.276671,0.390838,0.34579,0.021456,0.35525
1393.619995,0.012366,0.315089,0.344362,0.388829,0.005029,0.303173
1398.630005,0.020875,0.466282,0.627984,0.529027,0.043807,0.380456
1403.640015,0.018681,0.366195,0.469809,0.492491,0.036138,0.357264
1408.650024,0.033572,0.372944,0.473131,0.430611,0.022757,0.376321
1413.650024,0.026216,0.303744,0.460952,0.323304,0.032822,0.266887
1418.660034,0.028252,0.305676,0.359015,0.324051,0.021645,0.249268
1423.670044,0.017728,0.275617,0.359812,0.208506,0.019356,0.187761
1428.680054,0.016961,0.252572,0.296789,0.134655,0.018368,0.146779
1433.689941,0.017217,0.24286,0.28337,0.146031,0.014119,0.153585
1438.699951,0.010905,0.239446,0.297624,0.140776,0.025164,0.16632
1443.709961,0.013258,0.240489,0.279228,0.13107,0.014128,0.138755
1448.719971,0.010622,0.246803,0.259487,0.113508,0.008825,0.130963
1453.719971,0.008834,0.232348,0.247056,0.103866,0.010368,0.123038
1458.72998,0.007836,0.234755,0.243997,0.100462,0.01008,0.116782
1463.73999,0.00701,0.239436,0.244023,0.103356,0.008606,0.125016
1468.75,0.009053,0.233563,0.254579,0.111269,0.012512,0.130002
1473.76001,0.008768,0.237938,0.2487,0.105522,0.010206,0.125221
1478.77002,0.009263,0.236292,0.245662,0.109404,0.009344,0.126082
1483.780029,0.008422,0.243113,0.24995,0.115317,0.010384,0.125002
1488.780029,0.008375,0.246281,0.249822,0.120094,0.010233,0.130268
1493.790039,0.008749,0.252188,0.249321,0.118888,0.009196,0.127874
